2021-03-23 11:27:10.390 DEBUG 2344 --- [main] org.hibernate.SQL                        : alter table riga_scontrino add column quantita integer
2021-03-23 11:29:12.276 DEBUG 2344 --- [http-nio-8080-exec-3] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 11:29:12.276 TRACE 2344 --- [http-nio-8080-exec-3] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 11:29:12.292 DEBUG 2344 --- [http-nio-8080-exec-3] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 11:29:12.302 TRACE 2344 --- [http-nio-8080-exec-3] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 11:29:48.946 DEBUG 2344 --- [http-nio-8080-exec-5] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 11:29:48.947 TRACE 2344 --- [http-nio-8080-exec-5] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 11:29:48.949 DEBUG 2344 --- [http-nio-8080-exec-5] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 11:29:48.950 TRACE 2344 --- [http-nio-8080-exec-5] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 11:29:58.140 DEBUG 2344 --- [http-nio-8080-exec-8] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 11:29:58.141 TRACE 2344 --- [http-nio-8080-exec-8] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 11:29:58.144 DEBUG 2344 --- [http-nio-8080-exec-8] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 11:29:58.144 TRACE 2344 --- [http-nio-8080-exec-8] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 11:30:06.537 DEBUG 2344 --- [http-nio-8080-exec-9] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.codice like ? escape ?
2021-03-23 11:30:06.537 TRACE 2344 --- [http-nio-8080-exec-9] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [%igvgi%]
2021-03-23 11:30:06.538 TRACE 2344 --- [http-nio-8080-exec-9] o.h.type.descriptor.sql.BasicBinder      : binding parameter [2] as [CHAR] - [\]
2021-03-23 11:30:16.373 DEBUG 2344 --- [http-nio-8080-exec-10] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 11:30:16.375 TRACE 2344 --- [http-nio-8080-exec-10] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 11:30:16.377 DEBUG 2344 --- [http-nio-8080-exec-10] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 11:30:16.378 TRACE 2344 --- [http-nio-8080-exec-10] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 11:48:03.363 DEBUG 2344 --- [http-nio-8080-exec-2] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 11:48:03.365 TRACE 2344 --- [http-nio-8080-exec-2] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 11:48:03.367 DEBUG 2344 --- [http-nio-8080-exec-2] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 11:48:03.368 TRACE 2344 --- [http-nio-8080-exec-2] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 11:48:14.652 DEBUG 2344 --- [http-nio-8080-exec-3] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 11:48:14.653 TRACE 2344 --- [http-nio-8080-exec-3] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 11:48:14.656 DEBUG 2344 --- [http-nio-8080-exec-3] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 11:48:14.657 TRACE 2344 --- [http-nio-8080-exec-3] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 11:48:28.812 DEBUG 2344 --- [http-nio-8080-exec-4] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 11:48:28.814 TRACE 2344 --- [http-nio-8080-exec-4] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 11:48:28.816 DEBUG 2344 --- [http-nio-8080-exec-4] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 11:48:28.817 TRACE 2344 --- [http-nio-8080-exec-4] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 11:48:43.174 DEBUG 2344 --- [http-nio-8080-exec-5] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 11:48:43.175 TRACE 2344 --- [http-nio-8080-exec-5] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 11:48:43.179 DEBUG 2344 --- [http-nio-8080-exec-5] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 11:48:43.180 TRACE 2344 --- [http-nio-8080-exec-5] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 11:48:50.177 DEBUG 2344 --- [http-nio-8080-exec-6] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_
2021-03-23 11:48:50.180 DEBUG 2344 --- [http-nio-8080-exec-6] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 11:48:50.181 TRACE 2344 --- [http-nio-8080-exec-6] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [4]
2021-03-23 11:48:50.183 DEBUG 2344 --- [http-nio-8080-exec-6] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 11:48:50.184 TRACE 2344 --- [http-nio-8080-exec-6] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 11:48:50.186 DEBUG 2344 --- [http-nio-8080-exec-6] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 11:48:50.187 TRACE 2344 --- [http-nio-8080-exec-6] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [8]
2021-03-23 11:49:35.803 DEBUG 2344 --- [http-nio-8080-exec-8] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 11:49:35.805 TRACE 2344 --- [http-nio-8080-exec-8] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 11:49:35.809 DEBUG 2344 --- [http-nio-8080-exec-8] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 11:49:35.810 TRACE 2344 --- [http-nio-8080-exec-8] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 12:17:21.759 DEBUG 2344 --- [http-nio-8080-exec-10] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 12:17:21.760 TRACE 2344 --- [http-nio-8080-exec-10] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 12:17:21.767 DEBUG 2344 --- [http-nio-8080-exec-10] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 12:17:21.767 TRACE 2344 --- [http-nio-8080-exec-10] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 12:17:30.641 DEBUG 2344 --- [http-nio-8080-exec-2] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 12:17:30.642 TRACE 2344 --- [http-nio-8080-exec-2] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 12:17:30.644 DEBUG 2344 --- [http-nio-8080-exec-2] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 12:17:30.645 TRACE 2344 --- [http-nio-8080-exec-2] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 12:17:59.993 DEBUG 2344 --- [http-nio-8080-exec-3] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 12:17:59.994 TRACE 2344 --- [http-nio-8080-exec-3] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 12:17:59.997 DEBUG 2344 --- [http-nio-8080-exec-3] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 12:17:59.998 TRACE 2344 --- [http-nio-8080-exec-3] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 12:18:42.686 DEBUG 2344 --- [http-nio-8080-exec-4] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 12:18:42.687 TRACE 2344 --- [http-nio-8080-exec-4] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 12:18:42.691 DEBUG 2344 --- [http-nio-8080-exec-4] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 12:18:42.692 TRACE 2344 --- [http-nio-8080-exec-4] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 12:22:00.108 DEBUG 2344 --- [http-nio-8080-exec-6] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 12:22:00.110 TRACE 2344 --- [http-nio-8080-exec-6] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
2021-03-23 12:22:00.112 DEBUG 2344 --- [http-nio-8080-exec-6] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 12:22:00.113 TRACE 2344 --- [http-nio-8080-exec-6] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 12:22:23.346 DEBUG 2344 --- [http-nio-8080-exec-8] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_ where prodotto0_.ean=?
2021-03-23 12:22:23.347 TRACE 2344 --- [http-nio-8080-exec-8] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [VARCHAR] - [igvgi]
